year,model,price,transmission,mileage,fuelType,tax,mpg,engineSize,selling_price
2019, 1 Series,18440,Manual,6088,Petrol,150,52.3,1.5,14112.132
2019, 1 Series,26000,Manual,2073,Diesel,145,57.7,1.5,19897.8
2019, 1 Series,19598,Semi-Auto,11308,Diesel,145,67.3,2.0,14998.3494
2017, 1 Series,22995,Semi-Auto,11950,Petrol,145,39.8,3.0,13534.857
2017, 1 Series,15995,Semi-Auto,19000,Diesel,20,68.9,1.5,9414.657000000001
2015, 1 Series,9981,Manual,71119,Diesel,30,62.8,2.0,4606.2315
2017, 1 Series,18690,Automatic,26140,Diesel,145,61.4,2.0,11000.934000000001
2017, 1 Series,20998,Semi-Auto,15010,Petrol,145,39.8,3.0,12359.4228
2017, 1 Series,19845,Semi-Auto,20000,Petrol,205,39.8,3.0,11680.767
2017, 1 Series,15490,Automatic,26000,Diesel,125,61.4,2.0,9117.414
2015, 1 Series,8650,Manual,75638,Petrol,145,50.4,1.6,3991.9750000000004
2017, 1 Series,18471,Semi-Auto,8500,Petrol,150,47.9,2.0,10872.0306
2019, 1 Series,22000,Manual,2574,Petrol,145,44.1,1.5,16836.6
2019, 1 Series,21950,Manual,5013,Petrol,145,44.1,1.5,16798.335
2015, 1 Series,10890,Semi-Auto,39157,Diesel,20,72.4,1.5,5025.735000000001
2015, 1 Series,8990,Manual,74000,Diesel,30,65.7,2.0,4148.885
2019, 1 Series,33400,Semi-Auto,3450,Petrol,145,34.5,2.0,25561.02
2019, 1 Series,19995,Semi-Auto,4371,Diesel,150,67.3,2.0,15302.173499999999
2019, 1 Series,16500,Manual,5450,Diesel,145,72.4,1.5,12627.449999999999
2015, 1 Series,9890,Manual,30416,Diesel,0,78.5,1.5,4564.235000000001
2017, 1 Series,22490,Semi-Auto,15985,Petrol,145,39.8,3.0,13237.614
2015, 1 Series,8999,Manual,58918,Diesel,0,83.1,1.5,4153.038500000001
2019, 1 Series,27860,Automatic,14147,Diesel,145,51.4,2.0,21321.257999999998
2017, 1 Series,16480,Manual,21344,Diesel,145,62.8,2.0,9700.128
2017, 1 Series,11990,Manual,12000,Diesel,145,72.4,1.5,7057.314
2017, 1 Series,21498,Semi-Auto,25630,Petrol,145,39.8,3.0,12653.7228
2017, 1 Series,18490,Automatic,33000,Petrol,145,39.8,3.0,10883.214
2017, 1 Series,13000,Manual,46000,Petrol,125,52.3,1.5,7651.8
2015, 1 Series,8490,Manual,50000,Petrol,125,50.4,1.6,3918.135
2017, 1 Series,21980,Semi-Auto,24965,Petrol,150,39.8,3.0,12937.428
2017, 1 Series,14925,Manual,31000,Petrol,145,46.3,2.0,8784.855
2017, 1 Series,21980,Semi-Auto,16718,Petrol,150,39.8,3.0,12937.428
2019, 1 Series,16490,Manual,9010,Diesel,150,72.4,1.5,12619.797
2017, 1 Series,16000,Manual,16758,Diesel,150,62.8,2.0,9417.6
2017, 1 Series,12250,Manual,24757,Petrol,150,56.5,1.5,7210.35
2019, 1 Series,15989,Automatic,5553,Petrol,145,55.5,1.5,12236.3817
2017, 1 Series,21100,Automatic,11360,Petrol,145,39.8,3.0,12419.460000000001
2019, 1 Series,18989,Manual,20442,Diesel,150,70.6,1.5,14532.2817
2017, 1 Series,13995,Semi-Auto,39714,Diesel,145,67.3,2.0,8237.457
2019, 1 Series,20760,Automatic,123,Petrol,145,48.7,2.0,15887.627999999999
2019, 1 Series,19250,Semi-Auto,5298,Diesel,145,67.3,2.0,14732.025
2019, 1 Series,16950,Semi-Auto,11794,Diesel,145,72.4,1.5,12971.835
2019, 1 Series,22995,Manual,3000,Petrol,145,44.1,1.5,17598.0735
2019, 1 Series,21480,Semi-Auto,7796,Petrol,145,47.9,2.0,16438.644
2019, 1 Series,16475,Manual,3510,Diesel,145,72.4,1.5,12608.3175
2019, 1 Series,24862,Semi-Auto,5810,Petrol,145,40.4,1.5,19026.8886
2019, 1 Series,19812,Semi-Auto,7233,Diesel,150,68.9,1.5,15162.123599999999
2019, 1 Series,31000,Automatic,2922,Petrol,145,34.5,2.0,23724.3
2015, 1 Series,12995,Semi-Auto,19022,Petrol,30,58.9,1.5,5997.1925
2019, 1 Series,30200,Automatic,7312,Petrol,145,34.5,2.0,23112.059999999998
2019, 1 Series,25290,Automatic,5511,Petrol,145,40.4,1.5,19354.436999999998
2019, 1 Series,23770,Automatic,7287,Petrol,145,42.8,1.5,18191.181
2015, 1 Series,16900,Automatic,39687,Petrol,235,37.7,3.0,7799.35
2019, 1 Series,19950,Semi-Auto,10102,Diesel,145,48.7,2.0,15267.734999999999
2019, 1 Series,16950,Semi-Auto,11137,Diesel,145,72.4,1.5,12971.835
2019, 1 Series,20216,Automatic,7935,Diesel,145,65.7,2.0,15471.3048
2019, 1 Series,30995,Semi-Auto,3244,Petrol,145,34.5,2.0,23720.4735
2019, 1 Series,24850,Manual,3602,Petrol,145,41.5,1.5,19017.704999999998
2019, 1 Series,30700,Automatic,7381,Petrol,145,34.5,2.0,23494.71
2019, 1 Series,19895,Semi-Auto,13171,Diesel,150,67.3,2.0,15225.6435
2019, 1 Series,19850,Semi-Auto,8000,Petrol,145,54.3,1.5,15191.205
2015, 1 Series,16491,Manual,27411,Petrol,305,35.3,3.0,7610.596500000001
2019, 1 Series,31771,Semi-Auto,1954,Diesel,145,48.7,2.0,24314.3463
2019, 1 Series,21980,Manual,2630,Petrol,145,44.1,1.5,16821.293999999998
2015, 1 Series,8490,Manual,46000,Petrol,125,53.3,1.5,3918.135
2019, 1 Series,20330,Semi-Auto,9200,Diesel,145,67.3,2.0,15558.548999999999
2015, 1 Series,13491,Semi-Auto,38436,Diesel,125,60.1,2.0,6226.096500000001
2015, 1 Series,8990,Manual,47000,Petrol,125,53.3,1.5,4148.885
2019, 1 Series,33150,Semi-Auto,4902,Diesel,145,51.4,2.0,25369.695
2019, 1 Series,24450,Manual,5793,Petrol,145,41.5,1.5,18711.585
2015, 1 Series,8990,Manual,56000,Diesel,20,68.9,2.0,4148.885
2019, 1 Series,19950,Semi-Auto,9119,Petrol,145,54.3,1.5,15267.734999999999
